51 Peg b,Confirmed,0,47,Radial Velocity,1,9,4,2308,0,052,0,07,0,03,0,46,0,06,0,01,0,3,0,3,3,72905E-005,3,72905E-005,,,0,0069,0,0066,0,0069,80,10,19,0,003537,1995,2017-01-26,54,1,72,3,72,3,2450404,4,,,,,,,,,,,,,,,,,,2497,0,022,0,022,55,65,0,53,0,53,,,,,,0,5,,,,Published in a refereed paper,Radial Velocity,Theoretical,,CO, H2O,51 Peg,344,3625,20,7686111,5,49,,,,,14,7,,,0,2,0,07,0,07,1,11,0,06,0,06,1,266,0,046,0,046,G2 IV,4,2,5,2,5,5793,70,70,,,,,,,,,,,,,,
55 Cnc b,Confirmed,0,84,Radial Velocity,,14,65314,0,11339,0,031,0,23,0,84,0,031,0,131,,,0,00095,0,0009,0,00011,0,00011,0,0023,0,0016,0,0025,89,73,24,54,24,49,0,009303,1996,2017-06-11,110,54,54,2453035,2,2,2,2,,,,,,,,,,,,,,,,,,,71,47,0,21,0,21,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133,1541667,28,3338889,5,95,,,,,12,34,0,4,0,4,0,31,0,04,0,04,0,905,0,015,0,015,0,943,0,01,0,01,K0IV-V,10,2,2,5,2,5,5196,24,24,,,,,,,,,,,,,,,
55 Cnc c,Confirmed,0,1784,Radial Velocity,,44,373,0,23735,0,0078,0,0275,0,1784,0,0078,0,0275,,,0,018,0,02,0,00024,0,00024,0,072,0,014,0,013,,,,0,019473,2002,2017-06-11,356,22,22,2453983,3,3,,,,,,,,,,,,,,,,,,,10,48,0,21,0,21,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133,1541667,28,3338889,5,95,,,,,12,34,0,4,0,4,0,31,0,04,0,04,0,905,0,015,0,015,0,943,0,01,0,01,K0IV-V,10,2,2,5,2,5,5196,24,24,,,,,,,,,,,,,,,
55 Cnc d,Confirmed,3,86,Radial Velocity,,4867,5,446,0,15,0,6,3,86,0,15,0,6,,,26,25,0,02,0,02,0,0269,0,0065,0,061,,,,0,466775,2002,2017-06-11,254,32,32,2453490,437,437,,,,,,,,,,,,,,,,,,,45,2,0,4,0,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133,1541667,28,3338889,5,95,,,,,12,34,0,4,0,4,0,31,0,04,0,04,0,905,0,015,0,015,0,943,0,01,0,01,K0IV-V,10,2,2,5,2,5,5196,24,24,,,,,,,,,,,,,,,
55 Cnc e,Confirmed,0,02547,Primary Transit,0,1775362254,0,7365478,0,015439,0,00081,0,00089,0,02547,0,00081,0,00082,0,0071371347,0,0071371347,0,0000012,0,0000016,0,000015,0,000015,0,028,0,019,0,022,90,36,4,66,3,96,0,001264,2004,2017-06-11,170,130,130,2449999,83643,0,0001,0,0001,,,,2455962,0697,0,0018,0,0018,,,,72,4,12,12,,,,,,,6,12,0,2,0,2,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HCN, H2O,55 Cnc,133,1541667,28,3338889,5,95,,,,,12,34,0,4,0,4,0,31,0,04,0,04,0,905,0,015,0,015,0,943,0,01,0,01,K0IV-V,10,2,2,5,2,5,5196,24,24,,,,,,,,,,,,,,
55 Cnc f,Confirmed,0,1479,Radial Velocity,,260,91,0,7733,0,0093,0,0219,0,1479,0,0093,0,0219,,,0,36,0,36,0,001,0,001,0,08,0,057,0,102,,,,0,06329,2007,2017-06-11,139,8,8,2451878,5,5,,,,,,,,,,,,,,,,,,,4,8,0,2,0,2,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,55 Cnc,133,1541667,28,3338889,5,95,,,,,12,34,0,4,0,4,0,31,0,04,0,04,0,905,0,015,0,015,0,943,0,01,0,01,K0IV-V,10,2,2,5,2,5,5196,24,24,,,,,,,,,,,,,,,
6 Lyn b,Confirmed,68,8,Radial Velocity,,899,2,2,66,3,68,7,2,4,,,,,19,19,,,0,134,0,052,0,052,2,1,79,0,038664,2008,2014-08-27,27,27,27,2453309,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,6 Lyn,97,6958333,58,1627778,5,86,4,8,4,27,3,03,3,7,56,9,2,5,2,5,-0,13,0,02,0,02,1,7,0,2,0,2,5,2,0,3,0,3,K0IV,,,,4978,18,18,,,,,,,,,,,,,,,
61 Vir b,Confirmed,0,016,Radial Velocity,,4,215,0,050201,0,0016,0,0016,0,016,0,0016,0,0016,,,0,0006,0,0006,0,000005,0,000005,0,12,0,11,0,11,,,,0,005892,2009,2009-12-15,105,54,54,2453369,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,61 Vir,199,6,-18,3111111,4,74,,,,,8,52,0,05,0,05,-0,01,,,0,95,0,03,0,03,0,94,0,029,0,029,G5V,8,96,3,3,5531,,,Imaging,,HD 115617,,,,,,,,,,,,
61 Vir c,Confirmed,0,0573,Radial Velocity,,38,021,0,2175,0,0035,0,0035,0,0573,0,0035,0,0035,,,0,034,0,034,0,0001,0,0001,0,14,0,06,0,06,,,,0,025528,2009,2009-12-15,341,38,38,2453369,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,61 Vir,199,6,-18,3111111,4,74,,,,,8,52,0,05,0,05,-0,01,,,0,95,0,03,0,03,0,94,0,029,0,029,G5V,8,96,3,3,5531,,,Imaging,,HD 115617,,,,,,,,,,,,
61 Vir d,Confirmed,0,072,Radial Velocity,,123,01,0,476,0,008,0,008,0,072,0,008,0,008,,,0,55,0,55,0,001,0,001,0,35,0,09,0,09,,,,0,055869,2009,2009-12-15,314,20,20,2453369,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,61 Vir,199,6,-18,3111111,4,74,,,,,8,52,0,05,0,05,-0,01,,,0,95,0,03,0,03,0,94,0,029,0,029,G5V,8,96,3,3,5531,,,Imaging,,HD 115617,,,,,,,,,,,,
7 CMa b,Confirmed,2,46,Radial Velocity,,796,1,93,0,14,0,14,2,46,0,14,0,14,,,7,4,7,4,0,01,0,01,0,22,0,07,0,07,,,,0,096203,2011,2015-10-19,77,14,14,2454093,34,34,,,,,,,,,,,,,,,,,,,41,8,2,4,2,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,,HD 47205 b,,7 CMa,99,1708333,-19,2558333,3,96,,,,,19,75,0,09,0,09,0,21,0,1,0,1,1,52,0,3,0,3,2,3,0,1,0,1,K1 III,,,,4792,100,100,,,,,,,,,,,,,,,
70 Vir b,Confirmed,6,6,Radial Velocity,,116,67,0,48,,,6,6,,,,,0,01,0,01,,,0,43,,,,,,0,021818,1996,2010-12-29,2,1,2,2,2448990,403,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,70 Vir,202,1083333,13,7866667,5,,,,,22,,,-0,11,,,0,92,,,1,968,0,047,0,047,G4 V,7,09,,,5432,,,IR Excess,,HR 117176,,,,,,,,,,,,
75 Cet b,Confirmed,3,Radial Velocity,,691,9,2,1,,,3,,,,,3,6,3,6,,,,,,,,,,2012,2012-09-03,,,,2452213,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,75 Cet,38,0375,-1,035,5,36,,,,,81,5,7,51,7,51,0,0,04,0,04,2,49,0,02,0,27,10,5,1,1,G3III,,,,4846,18,18,,,,,,,,,,,,,,,
8 Umi b,Confirmed,1,5,Radial Velocity,,93,4,0,49,0,2,0,2,1,5,0,2,0,2,,,4,5,4,5,0,03,0,03,0,06,0,18,0,18,,,,,2015,2015-10-01,91,84,6,84,6,2454108,5,22,8,22,8,,,,,,,,,,,,,,,,,,,46,1,4,4,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,8 Umi,224,200000016,74,900833352,6,83,,,,,159,1,11,11,-0,03,0,02,0,02,1,8,0,1,0,1,9,9,0,4,0,4,K0,1,7,0,2,0,2,4847,4,7,5,7,5,,,,,,,,,,,,,,,
81 Cet b,Confirmed,5,3,Radial Velocity,,952,7,2,5,,,5,3,,,,,8,8,8,8,,,0,206,0,029,0,029,,,,0,02572,2008,2014-08-27,175,6,9,6,9,2452486,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,81 Cet,39,425,-3,3961111,5,65,,3,94,3,38,3,27,97,2,9,2,9,2,-0,06,0,03,0,03,2,4,0,4,0,4,11,0,1,0,1,G5III,,,,,,,,,,,,,,,,,,,,,
91 Aqr b,Confirmed,3,2,Radial Velocity,,181,4,0,7,,,3,2,,,,,0,1,0,1,,,0,027,0,026,0,026,,,,0,006593,2003,2015-08-21,177,3,0,8,0,8,2453472,1,24,24,,,,,,,,,,,,,,,,,,,91,2,3,2,3,,,,,,,,,,Published in a refereed paper,,,,,91 Aqr,348,9708333,-9,0875,4,21,,,,,45,9,0,6,0,6,-0,03,0,1,0,1,1,4,0,1,0,1,11,0,1,0,1,K0 III,3,56,0,63,0,63,4665,18,18,,,,,,,,,,,,,,,
AS 205 A b,Confirmed,19,25,Radial Velocity,,24,84,0,162,1,96,1,96,19,25,1,96,1,96,,,0,03,0,03,0,04,0,04,0,35,0,06,0,06,,,,,2017,2017-06-08,94,14,7,67,7,67,,,,,,,,,,,,,,,,,,,,,,1529,160,160,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,AS 205A,242,879166677,-18,640277796,12,4,,,,,140,,,0,0,5,0,5,0,9,,,3,7,,,K5,,,,4300,300,300,,,V866 Sco,,,,,,,,,,,,
Aldebaran b,Confirmed,6,47,Radial Velocity,,628,96,1,46,0,53,0,53,6,47,0,53,0,53,,,0,9,0,9,0,27,0,27,0,1,0,05,0,05,,,,0,1,1998,2015-05-15,287,29,29,2451297,50,50,,,,,,,,,,,,,,,,,,,142,1,7,2,7,2,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,Aldebaran,68,9791667,16,5091667,0,85,,,,,20,43,0,32,0,32,-0,27,0,05,0,05,1,13,0,11,0,11,45,1,0,1,0,1,K5III,6,6,2,4,2,4,4055,70,70,,,alf Tau,,,,,,,,,,,,
Anon-1 b,Unconfirmed,0,3,Other,,1,3381,0,024,,,,,,,,,,,,0,,,,,,,,2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,Anon-1,0,20,,,,,,,,,,,,,,,,,,G0,,,,,,,,,,,,,,,,,,,,,
BD+03 2562 b,Confirmed,6,4,Radial Velocity,,481,9,1,3,1,3,1,3,6,4,1,3,1,3,,,2,8,2,7,0,1,0,1,0,2,0,08,0,12,,,,,2017,2017-06-30,218,26,32,2453726,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,BD+03 2562,177,564802922,2,7601311342,9,58,,,,,2618,564,564,-0,71,0,09,0,09,1,14,0,25,0,25,32,35,8,82,8,82,,5,25,2,2,4095,20,20,,,,,,,,,,,,,,,
BD+14 4559 b,Confirmed,1,47,Radial Velocity,,268,94,0,777,,,1,47,,,,,0,99,0,99,,,0,29,0,03,0,03,,,,0,01554,2009,2016-02-23,87,64,7,87,7,87,2453294,21,6,35,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,BD+14 4559,318,4,14,6894444,9,63,,,,,50,4,4,0,1,0,07,0,07,0,86,0,15,0,15,,,,K2V,,,,5008,20,20,,,,,,,,,,,,,,,
BD+15 2375 b,Confirmed,1,06,Radial Velocity,,153,22,0,576,0,27,0,27,1,06,0,27,0,27,,,0,44,0,44,0,027,0,027,0,001,0,001,0,25,,,,,2016,2016-03-21,55,17,240,2457680,630,700,,,,,,,,,,,,,,,,,,,38,3,1,2,3,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,BD+15 2375,176,483333352,14,616388914,10,3,,,,,774,165,165,-0,22,0,08,0,08,1,08,0,14,0,14,8,95,1,45,1,45,,7,4,,,4649,30,30,,,,,,,,,,,,,,,
BD+15 2940 b,Confirmed,1,11,Radial Velocity,,137,48,0,539,,,1,11,,,,,0,34,0,34,,,0,26,0,1,0,1,,,,,2013,2013-04-30,302,33,33,2453464,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,BD+15 2940,240,0958,15,5469,9,19,,,,,585,455,455,0,28,0,07,0,07,1,1,0,2,0,2,14,7,2,8,2,8,K0,7,1,4,2,4,2,4796,117,117,,,,,,,,,,,,,,,
BD+20 1790 b,Confirmed,6,37,Other,,7,78287,0,066,1,35,1,35,6,37,1,35,1,35,,,0,00076,0,00077,0,006,0,006,0,22,0,09,0,07,,,,0,002598,2009,2017-05-04,200,4,21,8,21,8,3085,8,0,5,0,5,,,,,,,,,,,,,,,,,,,905,94,93,,,,,,,,,,Announced on a professional conference,,,,,BD+20 1790,110,9333333,20,4141667,9,93,,,,,25,4,4,4,0,3,0,2,0,2,0,63,0,09,0,09,0,71,0,03,0,03,K5V,0,057,0,023,0,023,4410,,,,Yes,,,,,,,,,,,,,
BD+20 2457 b,Confirmed,21,42,Radial Velocity,,379,63,1,45,,,21,42,,,,,2,01,2,01,,,0,15,0,03,0,03,,,,0,00725,2009,2016-02-23,207,64,21,99,21,99,2454677,53,28,19,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,BD+20 2457,154,1875,19,8913889,9,75,,,,,200,100,100,-1,0,07,0,07,2,8,1,5,1,5,,,,K2II,,,,4127,17,17,,,,,,,,,,,,,,,
